,PLAYER,POSITION,AGE,MP,DRB,STL,BLK,PF,TEAM,GP,DRPM,SALARY_MILLIONS
274,Lucas Nogueira,C,24,19.1,2.8,0.9,1.6,2.4,TOR,57,3.34,1.92
275,Noah Vonleh,PF,21,17.1,3.5,0.4,0.4,2.1,POR,74,1.03,2.75
276,Ed Davis,PF,27,17.2,3.2,0.3,0.5,3.0,POR,46,-0.06,6.67
277,Tyler Ennis,PG,22,11.1,0.7,0.5,0.0,1.1,HOU/LAL,53,-0.51,1.73
278,Brandon Rush,SG,31,21.9,1.8,0.5,0.5,0.9,MIN,47,-0.73,3.5
279,Thon Maker,C,19,9.9,1.3,0.2,0.5,1.5,MIL,57,0.17,2.57
280,Anthony Brown,SF,24,14.5,2.3,0.5,0.1,1.4,NO/ORL,11,-0.34,0.06
281,Jarell Martin,PF,22,13.3,2.9,0.4,0.2,2.2,MEM,42,1.17,1.47
282,Malik Beasley,SG,20,7.5,0.5,0.3,0.0,0.5,DEN,22,0.21,1.63
283,Kris Dunn,PG,22,17.1,1.8,1.0,0.5,2.3,MIN,78,-0.41,3.87
284,Jonas Jerebko,PF,29,15.8,2.7,0.3,0.2,1.6,BOS,78,-0.14,5.0
285,Malachi Richardson,SG,21,9.0,0.9,0.2,0.0,1.0,SAC,22,-0.14,1.44
286,Malachi Richardson,SG,21,9.0,0.9,0.2,0.0,1.0,SAC,22,-0.14,1.5
287,Tyus Jones,PG,20,12.9,1.0,0.8,0.1,0.8,MIN,60,-0.34,1.47
288,Adreian Payne,PF,25,7.5,1.3,0.4,0.4,1.8,MIN,18,1.36,2.02
289,Rashad Vaughn,SG,20,11.2,1.1,0.5,0.2,0.8,MIL,41,-0.89,1.81
290,Tyler Zeller,C,27,10.3,1.6,0.1,0.4,1.2,BOS,51,0.2,8.0
291,Dragan Bender,PF,19,13.3,1.9,0.2,0.5,1.7,PHX,43,-0.68,4.28
292,Dejounte Murray,PG,20,8.5,0.9,0.2,0.2,0.8,SA,38,-0.83,1.31
293,Jared Sullinger,PF,24,10.7,1.5,0.4,0.1,1.5,TOR,11,0.9,5.63
294,Henry Ellenson,PF,20,7.7,1.7,0.1,0.1,0.3,DET,19,0.38,1.7
295,Paul Pierce,SF,39,11.1,1.9,0.2,0.2,1.6,LAC,25,1.24,3.53
296,Maurice Ndour,PF,24,10.3,1.3,0.5,0.3,0.9,NY,32,-0.37,0.54
297,Jakob Poeltl,C,21,11.6,1.6,0.3,0.4,2.1,TOR,54,1.09,2.7
298,Briante Weber,PG,24,10.3,0.9,0.6,0.1,0.8,GS/CHA,20,-1.29,1.47
299,Jarrett Jack,PG,33,16.5,0.0,1.0,0.0,2.0,NO,2,0.01,0.06
300,Andrew Bogut,C,32,21.6,6.0,0.5,0.9,3.2,CLE/DAL,27,4.34,0.24
301,Fred VanVleet,PG,22,7.9,1.0,0.4,0.1,1.0,TOR,37,0.83,1.31
302,Kyle Singler,SF,28,12.0,1.3,0.2,0.2,0.9,OKC,32,0.9,4.84
303,Omer Asik,C,30,15.5,3.7,0.2,0.3,1.6,NO,31,1.94,9.9
304,DeAndre' Bembry,SF,22,9.8,1.2,0.2,0.1,0.6,ATL,38,-0.67,1.5
305,DeAndre' Bembry,SF,22,9.8,1.2,0.2,0.1,0.6,ATL,38,-0.67,1.57
306,Marcelo Huertas,PG,33,10.3,1.0,0.4,0.1,0.7,LAL,23,-1.25,1.5
307,Marcelo Huertas,PG,33,10.3,1.0,0.4,0.1,0.7,LAL,23,-1.25,1.5
308,Wesley Johnson,SF,29,11.9,2.3,0.4,0.4,1.2,LAC,68,2.62,5.63
309,Tomas Satoransky,SG,25,12.6,1.0,0.5,0.1,1.1,WSH,57,1.08,2.87
310,Christian Wood,PF,21,8.2,1.2,0.2,0.5,0.8,CHA,13,0.97,0.87
311,Bryn Forbes,SG,23,7.9,0.6,0.0,0.0,0.6,SA,36,-1.62,1.31
312,Andrew Nicholson,PF,27,9.0,1.2,0.4,0.2,1.4,BKN/WSH,38,-0.67,6.09
313,Pat Connaughton,SG,24,8.1,1.1,0.2,0.1,0.6,POR,39,-0.79,1.47
314,DeAndre Liggins,SG,28,12.5,1.4,0.8,0.2,1.3,CLE/DAL,62,0.76,1.58
315,Miles Plumlee,C,28,10.8,1.3,0.4,0.3,1.6,MIL/CHA,45,0.52,12.5
316,Mike Scott,PF,28,10.8,1.5,0.2,0.2,0.7,ATL,18,0.26,3.33
317,Greivis Vasquez,PG,30,13.0,0.7,0.3,0.3,2.0,BKN,3,-0.38,4.35
318,James Young,SG,21,7.6,0.7,0.3,0.1,0.5,BOS,29,-0.28,1.83
319,Jake Layman,SF,22,7.1,0.5,0.3,0.1,0.6,POR,35,-0.03,1.31
320,Treveon Graham,SG,23,7.0,0.6,0.2,0.0,0.7,CHA,27,0.02,1.31
321,Rakeem Christmas,PF,25,7.6,1.0,0.1,0.2,1.3,IND,29,0.5,1.47
322,Demetrius Jackson,PG,22,3.4,0.4,0.0,0.0,0.0,BOS,5,-0.3,1.45
323,Demetrius Jackson,PG,22,3.4,0.4,0.0,0.0,0.0,BOS,5,-0.3,1.38
324,Udonis Haslem,C,36,8.1,1.8,0.4,0.1,1.4,MIA,16,0.73,4.0
325,Marshall Plumlee,C,24,8.1,1.3,0.2,0.2,1.1,NY,21,0.65,1.31
326,Lamar Patterson,SG,25,8.0,1.2,0.2,0.0,1.2,ATL,5,0.62,0.25
327,Cole Aldrich,C,28,8.6,1.7,0.4,0.4,1.4,MIN,62,1.83,7.64
328,Nick Collison,PF,36,6.4,1.1,0.1,0.1,0.9,OKC,20,1.12,3.75
329,Jordan Hill,C,29,6.7,0.9,0.1,0.0,1.3,MIN,7,1.16,4.0
330,Bruno Caboclo,SF,21,4.4,0.6,0.2,0.1,0.4,TOR,9,0.11,1.59
331,Deyonta Davis,C,20,6.6,1.1,0.1,0.5,1.1,MEM,36,-0.24,1.37
332,Deyonta Davis,C,20,6.6,1.1,0.1,0.5,1.1,MEM,36,-0.24,1.31
333,Ryan Kelly,PF,25,6.9,1.1,0.3,0.3,0.3,ATL,16,1.45,1.58
334,Jordan Mickey,PF,22,5.6,0.8,0.1,0.2,0.5,BOS,25,-0.15,1.47
335,Mike Miller,SF,36,7.6,1.8,0.1,0.0,0.5,DEN,20,0.35,3.5
336,Diamond Stone,C,19,3.4,0.7,0.0,0.1,0.7,LAC,7,0.49,1.31
337,Brice Johnson,PF,22,3.0,0.7,0.7,0.3,0.0,LAC,3,1.08,1.33
338,Mike Tobey,C,22,12.5,0.5,0.0,0.0,1.0,CHA,2,0.99,0.07
339,Alonzo Gee,SF,29,6.8,0.8,0.4,0.1,1.1,DEN,13,0.43,0.06
340,John Lucas III,PG,34,2.2,0.0,0.4,0.0,0.0,MIN,5,-0.61,0.98
341,Aaron Harrison,SG,22,3.4,0.6,0.0,0.0,0.4,CHA,5,-0.32,0.87
