,PLAYER,POSITION,AGE,MP,DRB,STL,BLK,PF,TEAM,GP,DRPM,SALARY_MILLIONS
63,Enes Kanter,C,24,21.3,4.0,0.4,0.5,2.1,OKC,72,-1.24,17.15
64,Dirk Nowitzki,PF,38,26.4,6.1,0.6,0.7,2.1,DAL,54,0.64,25.0
65,Zach Randolph,PF,35,24.5,5.7,0.5,0.1,1.9,MEM,73,-1.05,10.36
66,Rudy Gobert,C,24,33.9,8.9,0.6,2.6,3.0,UTAH,81,6.02,2.12
67,Al Horford,C,30,32.3,5.4,0.8,1.3,2.0,BOS,68,1.06,26.54
68,Marcus Morris,SF,27,32.5,3.7,0.7,0.3,2.1,DET,79,0.63,4.62
69,Markieff Morris,PF,27,31.2,5.1,1.1,0.6,3.3,WSH,76,2.41,7.4
70,Jae Crowder,SF,26,32.4,5.1,1.0,0.3,2.2,BOS,72,1.69,6.29
71,Kentavious Caldwell-Pope,SG,23,33.3,2.5,1.2,0.2,1.6,DET,76,-1.31,3.68
72,Will Barton,SG,26,28.4,3.4,0.8,0.5,1.8,DEN,60,-1.2,3.53
73,Bojan Bogdanovic,SF,27,25.7,3.0,0.4,0.1,1.8,BKN/WSH,81,-3.42,3.73
74,Tyler Johnson,PG,24,29.8,3.3,1.2,0.6,2.4,MIA,73,0.18,5.63
75,Ryan Anderson,PF,28,29.4,3.0,0.4,0.2,2.0,HOU,72,-0.12,18.74
76,Dwight Howard,C,31,29.7,8.7,0.9,1.2,2.7,ATL,74,2.6,23.18
77,Wesley Matthews,SG,30,34.2,3.3,1.1,0.2,2.2,DAL,73,0.11,17.15
78,Darren Collison,PG,29,30.3,1.9,1.0,0.1,1.8,SAC,68,-1.47,5.23
79,Julius Randle,PF,22,28.8,6.6,0.7,0.5,3.4,LAL,74,-1.03,3.27
80,Nick Young,SG,31,25.9,1.9,0.6,0.2,2.3,LAL,60,-1.63,5.44
81,Ersan Ilyasova,PF,29,26.1,4.5,0.7,0.3,2.6,ATL/PHI/OKC,82,0.74,8.4
82,Sean Kilpatrick,SG,27,25.1,3.7,0.6,0.1,1.7,BKN,70,-2.36,1.52
83,James Johnson,PF,29,27.4,4.1,1.0,1.1,2.6,MIA,76,1.94,4.0
84,Elfrid Payton,PG,22,29.4,3.6,1.1,0.5,2.2,ORL,82,-0.78,2.61
85,Dario Saric,PF,22,26.3,5.0,0.7,0.4,2.0,PHI,81,-0.62,2.32
86,Aaron Gordon,SF,21,28.7,3.6,0.8,0.5,2.2,ORL,80,-0.78,4.35
87,Rodney Hood,SG,24,27.0,3.2,0.6,0.2,2.2,UTAH,59,-0.51,1.41
88,Pau Gasol,C,36,25.4,6.2,0.4,1.1,1.7,SA,64,1.49,15.5
89,Jamal Crawford,SG,36,26.3,1.4,0.7,0.2,1.4,LAC,82,-3.18,13.25
90,Austin Rivers,SG,24,27.8,1.9,0.6,0.1,2.5,LAC,74,-1.73,11.0
91,Jonas Valanciunas,C,24,25.8,6.7,0.5,0.8,2.7,TOR,80,0.75,14.38
92,Jahlil Okafor,C,21,22.7,3.2,0.4,1.0,2.4,PHI,50,-1.26,4.79
93,Trevor Ariza,SF,31,34.7,5.1,1.8,0.3,1.7,HOU,80,1.07,7.81
94,Frank Kaminsky,C,23,26.1,3.7,0.6,0.5,1.9,CHA,75,-0.51,2.73
95,Greg Monroe,C,26,22.5,4.5,1.1,0.5,2.1,MIL,81,0.47,17.15
96,Steven Adams,C,23,29.9,4.2,1.1,1.0,2.4,OKC,80,1.68,3.14
97,Marvin Williams,PF,30,30.2,5.4,0.8,0.7,1.8,CHA,76,-0.07,12.25
98,Ricky Rubio,PG,26,32.9,3.2,1.7,0.1,2.7,MIN,75,0.76,13.55
99,Jerryd Bayless,PG,28,23.7,3.0,0.0,0.0,1.3,PHI,3,-0.47,9.42
100,Kent Bazemore,SF,27,26.9,2.5,1.2,0.7,2.3,ATL,73,-0.5,15.73
101,Brandon Knight,SG,25,21.1,1.7,0.5,0.1,1.6,PHX,54,-3.08,12.61
102,Emmanuel Mudiay,PG,20,25.6,2.7,0.7,0.2,1.7,DEN,55,-2.38,3.24
103,Terrence Ross,SF,25,25.1,2.4,1.1,0.4,1.8,ORL/TOR,78,-1.23,10.0
104,Thaddeus Young,PF,28,30.2,4.3,1.5,0.4,1.8,IND,74,1.94,14.15
105,J.J. Barea,PG,32,22.0,2.1,0.4,0.0,0.9,DAL,35,-1.57,4.1
106,Justise Winslow,SF,20,34.7,3.9,1.4,0.3,2.9,MIA,18,0.16,2.59
107,Taj Gibson,PF,31,25.5,4.2,0.5,0.8,2.1,CHI/OKC,78,2.02,8.95
108,Marcin Gortat,C,32,31.2,7.5,0.5,0.7,2.6,WSH,82,1.18,12.0
109,Courtney Lee,SG,31,31.9,2.7,1.1,0.3,1.8,NY,77,-1.51,11.24
110,Allen Crabbe,SG,24,28.5,2.6,0.7,0.3,2.2,POR,79,-2.87,18.5
111,Buddy Hield,SG,23,23.0,2.9,0.5,0.1,1.4,NO/SAC,82,-2.28,3.52
112,Nikola Mirotic,PF,25,24.0,4.6,0.8,0.8,1.8,CHI,70,1.31,5.78
113,Marcus Smart,SG,22,30.4,2.9,1.6,0.4,2.4,BOS,79,0.49,3.58
114,Marco Belinelli,SG,30,24.0,2.2,0.6,0.1,1.2,CHA,74,-1.87,6.33
115,Wayne Ellington,SG,29,24.2,1.8,0.6,0.1,1.1,MIA,62,-1.6,6.0
116,Robin Lopez,C,28,28.0,3.4,0.2,1.4,1.9,CHI,81,0.63,13.22
117,Mason Plumlee,C,26,26.5,5.4,0.9,1.1,2.8,DEN/POR,81,0.22,2.33
118,Tyreke Evans,SF,27,19.7,3.1,0.9,0.2,1.5,NO/SAC,40,0.02,10.2
119,Cody Zeller,PF,24,27.8,4.4,1.0,0.9,3.0,CHA,62,3.42,5.32
120,Draymond Green,PF,26,32.5,6.6,2.0,1.4,2.9,GS,76,5.59,15.33
121,Jon Leuer,PF,27,25.9,4.0,0.4,0.3,1.9,DET,75,0.58,10.99
122,Jusuf Nurkic,C,22,21.4,4.8,0.8,1.1,2.5,DEN/POR,65,2.73,1.92
123,Josh Richardson,SG,23,30.5,2.5,1.1,0.7,2.5,MIA,53,0.06,1.47
124,Kyle Korver,SG,35,26.2,2.7,0.5,0.3,1.6,ATL/CLE,67,-2.61,5.24
125,Tony Parker,PG,34,25.2,1.7,0.5,0.0,1.5,SA,63,-0.97,14.45
126,Trevor Booker,PF,29,24.7,6.0,1.1,0.4,2.1,BKN,71,2.0,9.25
127,Gorgui Dieng,PF,27,32.4,5.6,1.1,1.2,3.1,MIN,82,3.52,2.35
128,Maurice Harkless,SF,23,28.9,2.8,1.1,0.9,2.8,POR,77,0.49,8.99
129,Shabazz Muhammad,SF,24,19.4,1.7,0.3,0.1,1.1,MIN,78,-3.19,3.05
130,Jamal Murray,SG,19,21.5,2.1,0.6,0.3,1.5,DEN,82,-1.57,3.21
131,Jeremy Lamb,SG,24,18.4,3.8,0.4,0.4,1.6,CHA,62,-1.32,6.51
132,Kenneth Faried,PF,27,21.2,4.6,0.7,0.7,2.0,DEN,61,-1.55,12.08
133,E'Twaun Moore,SG,27,24.9,1.6,0.7,0.4,1.8,NO,73,-1.58,8.08
134,Derrick Favors,PF,25,23.7,4.3,0.9,0.8,2.1,UTAH,50,2.06,11.05
135,Patty Mills,PG,28,21.9,1.5,0.8,0.0,1.4,SA,80,-1.26,3.58
136,Nik Stauskas,SG,23,27.4,2.6,0.6,0.4,1.8,PHI,80,-2.25,2.99
137,Michael Beasley,PF,28,16.7,2.7,0.5,0.5,1.6,MIL,56,-0.61,1.4
138,Brandon Ingram,SF,19,28.8,3.2,0.6,0.5,2.0,LAL,79,-2.93,5.28
139,Ish Smith,PG,28,24.1,2.6,0.8,0.4,1.6,DET,81,0.25,6.0
140,Cory Joseph,PG,25,25.0,2.3,0.8,0.2,1.8,TOR,80,-1.94,7.32
141,Marquese Chriss,PF,19,21.3,3.1,0.8,0.9,3.2,PHX,82,-1.82,2.94
142,Jeff Green,PF,30,22.2,2.5,0.5,0.2,1.5,ORL,69,-1.31,15.0
143,Gerald Henderson,SG,29,23.2,2.1,0.6,0.2,1.8,PHI,72,-2.42,9.0
144,Joe Johnson,SF,35,23.6,2.7,0.5,0.2,1.2,UTAH,78,-1.56,11.0
145,Michael Kidd-Gilchrist,SF,23,29.0,5.0,1.0,1.0,2.3,CHA,81,2.47,13.0
146,Jameer Nelson,PG,34,27.3,2.2,0.7,0.1,2.6,DEN,75,-0.44,4.54
147,Tony Allen,SG,35,27.0,3.2,1.6,0.4,2.5,MEM,71,2.15,5.51
148,Channing Frye,C,33,18.9,3.4,0.4,0.5,1.9,CLE,74,-0.58,7.81
149,Jodie Meeks,SG,29,20.5,2.0,0.9,0.1,1.1,ORL,36,-1.6,6.54
150,Doug McDermott,SF,25,22.8,2.4,0.2,0.1,1.2,CHI/OKC,66,-3.92,2.48
151,Kelly Olynyk,C,25,20.5,3.8,0.6,0.4,2.8,BOS,75,0.81,3.09
152,Evan Turner,SF,28,25.5,3.2,0.8,0.4,1.9,POR,65,0.15,16.39
153,DeMarre Carroll,SF,30,26.1,2.9,1.1,0.4,2.0,TOR,72,0.83,14.2
154,Al-Farouq Aminu,SF,26,29.1,6.1,1.0,0.7,1.7,POR,61,3.13,7.68
155,Rondae Hollis-Jefferson,SF,22,22.6,4.6,1.1,0.6,2.3,BKN,78,1.78,1.4
156,Nerlens Noel,C,22,20.5,3.9,1.3,1.0,2.5,DAL/PHI,51,2.58,4.38
157,Marreese Speights,C,29,15.7,3.5,0.3,0.5,2.8,LAC,82,0.69,1.4
158,Monta Ellis,SG,31,27.0,2.5,1.1,0.4,2.0,IND,74,-1.64,10.76
159,Tony Snell,SG,25,29.2,2.8,0.7,0.2,1.6,MIL,80,-0.85,2.37
160,Arron Afflalo,SG,31,25.9,1.9,0.3,0.1,1.7,SAC,61,-2.85,12.5
161,Tyson Chandler,C,34,27.6,8.2,0.7,0.5,2.7,PHX,47,2.2,12.42
162,Troy Daniels,SG,25,17.7,1.2,0.3,0.1,1.3,MEM,67,-2.1,3.33
163,Willy Hernangomez,C,22,18.4,4.6,0.6,0.5,2.1,NY,72,0.4,1.44
164,Caris LeVert,SF,22,21.7,2.9,0.9,0.1,1.6,BKN,57,-0.84,1.56
165,Willie Cauley-Stein,C,23,18.9,3.4,0.7,0.6,2.0,SAC,75,0.9,3.55
166,Al Jefferson,C,32,14.1,3.1,0.3,0.2,1.9,IND,66,-0.45,10.31
167,Ben McLemore,SG,23,19.3,1.8,0.5,0.1,1.8,SAC,61,-1.58,4.01
168,Tristan Thompson,C,25,29.9,5.5,0.5,1.1,2.3,CLE,78,1.31,15.33
169,Vince Carter,SF,40,24.6,2.6,0.8,0.5,2.2,MEM,73,-0.06,4.26
170,Alex Len,C,23,20.3,4.6,0.5,1.3,3.1,PHX,77,1.28,4.82
171,D.J. Augustin,PG,29,19.7,1.3,0.4,0.0,1.3,ORL,78,-3.4,7.25
172,Langston Galloway,PG,25,20.2,1.7,0.6,0.1,1.3,NO/SAC,74,-1.65,5.2
173,Shelvin Mack,PG,26,21.9,1.9,0.8,0.1,1.8,UTAH,55,-1.28,2.43
174,Sergio Rodriguez,PG,30,22.3,2.0,0.7,0.1,1.4,PHI,68,-2.11,8.0
175,Rajon Rondo,PG,30,26.7,4.1,1.4,0.2,2.1,CHI,69,-0.49,14.0
176,Garrett Temple,SG,30,26.6,2.3,1.3,0.4,2.2,SAC,65,-0.46,8.0
177,Matthew Dellavedova,PG,26,26.1,1.6,0.7,0.0,2.0,MIL,76,-1.01,9.61
178,Luol Deng,SF,31,26.5,4.1,0.9,0.4,1.1,LAL,56,1.54,18.0
179,Andre Iguodala,SF,33,26.3,3.3,1.0,0.5,1.3,GS,76,1.52,11.13
180,Manu Ginobili,SG,39,18.7,1.9,1.2,0.2,1.7,SA,69,1.0,14.0
181,Iman Shumpert,SG,26,25.5,2.4,0.8,0.4,2.0,CLE,76,-0.16,9.66
182,Timofey Mozgov,C,30,20.4,3.0,0.3,0.6,2.5,LAL,54,0.93,16.0
183,Danny Green,SG,29,26.6,2.8,1.0,0.8,1.8,SA,68,1.71,10.0
184,David Lee,PF,33,18.7,3.7,0.4,0.5,1.6,SA,79,1.5,1.55
185,Thabo Sefolosha,SF,32,25.7,3.5,1.5,0.5,1.6,ATL,62,2.27,3.85
186,Rodney Stuckey,PG,30,17.8,2.0,0.4,0.0,1.1,IND,39,-0.91,7.0
187,Justin Anderson,SF,23,16.4,2.3,0.5,0.3,1.5,DAL/PHI,75,-2.54,1.51
188,Tim Frazier,PG,26,23.5,2.1,0.9,0.1,2.0,NO,65,-1.67,2.09
189,Joe Ingles,SF,29,24.0,2.9,1.2,0.1,2.0,UTAH,82,0.26,2.15
190,Brandon Jennings,PG,27,22.2,2.1,0.9,0.0,1.4,NY/WSH,81,-1.5,5.0
191,Solomon Hill,SF,25,29.7,3.2,0.9,0.4,2.3,NO,80,1.49,11.24
192,Justin Hamilton,C,26,18.4,3.0,0.5,0.7,1.4,BKN,64,-0.42,3.0
193,Jared Dudley,PF,31,21.3,3.0,0.7,0.3,2.4,PHX,64,1.89,10.47
194,John Henson,C,26,19.4,3.5,0.5,1.3,2.6,MIL,58,1.79,12.52
195,Patrick Patterson,PF,27,24.6,3.6,0.6,0.4,1.8,TOR,65,1.26,6.05
196,Bobby Portis,PF,21,15.6,3.5,0.3,0.2,1.5,CHI,64,-0.5,1.45
197,Bobby Portis,PF,21,15.6,3.5,0.3,0.2,1.5,CHI,64,-0.5,1.52
198,Brandan Wright,PF,29,16.0,1.7,0.4,0.7,1.5,MEM,28,0.4,5.71
199,Alec Burks,SG,25,15.5,2.5,0.4,0.1,1.2,UTAH,42,-0.94,10.15
200,Devin Harris,PG,33,16.7,1.8,0.7,0.1,1.6,DAL,65,0.32,4.23
201,Dwight Powell,C,25,17.3,2.8,0.8,0.5,1.8,DAL,77,-0.51,8.38
202,Jaylen Brown,SF,20,17.2,2.2,0.4,0.2,1.8,BOS,78,-0.42,4.74
203,Michael Carter-Williams,PG,25,18.8,2.9,0.8,0.5,2.3,CHI,45,1.12,3.18
204,Dante Cunningham,SF,29,25.0,3.3,0.6,0.4,1.5,NO,66,-0.56,2.98
205,Kosta Koufos,C,27,20.0,4.0,0.5,0.7,2.4,SAC,71,2.83,8.05
206,Andre Roberson,SF,25,30.1,3.9,1.2,1.0,2.6,OKC,79,2.64,2.18
207,Marcus Thornton,SG,29,17.4,1.6,0.6,0.1,1.5,WSH,33,-3.31,0.98
208,Sam Dekker,SF,22,18.4,2.5,0.5,0.3,1.1,HOU,77,-1.42,1.72
209,Amir Johnson,PF,29,20.1,3.1,0.6,0.8,2.6,BOS,80,3.58,12.0
210,Darrell Arthur,PF,28,15.6,2.1,0.5,0.5,1.9,DEN,41,0.2,8.07
211,Timothe Luwawu-Cabarrot,SF,21,17.2,1.8,0.5,0.1,2.2,PHI,69,0.57,1.39
212,Mirza Teletovic,PF,31,16.2,2.2,0.2,0.2,1.6,MIL,70,-0.44,10.5
213,Leandro Barbosa,SG,34,14.4,1.3,0.5,0.1,1.2,PHX,67,-1.5,4.0
214,Mindaugas Kuzminskas,SF,27,14.9,1.2,0.4,0.2,1.2,NY,68,-1.2,2.9
215,Kyle O'Quinn,C,26,15.6,3.6,0.5,1.3,2.2,NY,79,1.16,3.92
216,Nemanja Bjelica,PF,28,18.3,2.9,0.6,0.3,2.4,MIN,65,1.94,3.8
217,Dante Exum,PG,21,18.6,1.5,0.3,0.2,2.2,UTAH,66,-0.65,3.94
218,Jonathan Gibson,PG,29,13.6,1.2,0.5,0.0,1.2,DAL,17,-2.16,0.47
219,Spencer Hawes,PF,28,14.8,2.8,0.3,0.6,1.4,MIL/CHA,54,-0.87,6.35
220,Trey Lyles,PF,21,16.3,2.6,0.4,0.3,1.4,UTAH,71,-0.23,2.34
221,Chandler Parsons,SF,28,19.9,2.3,0.6,0.1,1.5,MEM,34,-0.33,22.12
222,Ramon Sessions,PG,30,16.2,1.2,0.5,0.1,0.9,CHA,50,-1.4,6.0
223,Troy Williams,SF,22,18.6,1.8,0.9,0.3,2.0,HOU/MEM,30,-0.45,1.58
224,Luc Mbah a Moute,SF,30,22.3,1.6,1.0,0.4,1.5,LAC,80,2.32,2.2
225,JaVale McGee,C,29,9.6,1.9,0.2,0.9,1.4,GS,77,0.11,1.4
226,Alex Abrines,SG,23,15.5,1.0,0.5,0.1,1.7,OKC,68,-2.25,5.99
227,Bismack Biyombo,C,24,22.1,5.1,0.3,1.1,2.5,ORL,81,0.77,17.0
228,Lance Thomas,PF,28,21.0,2.4,0.5,0.1,1.8,NY,46,-1.73,6.19
229,Jerian Grant,PG,24,16.3,1.5,0.7,0.1,1.5,CHI,63,1.07,1.64
230,Andrew Harrison,PG,22,20.5,1.6,0.7,0.3,2.7,MEM,72,-0.38,1.31
231,Domantas Sabonis,PF,20,20.1,3.0,0.5,0.4,2.5,OKC,81,1.86,2.44
232,Quincy Acy,PF,26,14.7,2.5,0.4,0.4,1.8,DAL/BKN,38,-0.21,1.79
233,Tarik Black,C,25,16.3,3.0,0.4,0.7,2.6,LAL,67,1.96,6.19
234,Jason Smith,C,30,14.4,2.6,0.3,0.7,2.3,WSH,74,0.54,5.0
235,Ian Mahinmi,C,30,17.9,3.3,1.1,0.8,2.9,WSH,31,3.11,15.94
236,Georgios Papagiannis,C,19,16.1,2.8,0.1,0.8,2.0,SAC,22,-0.3,2.2
237,Delon Wright,PG,24,16.5,1.2,1.0,0.4,1.1,TOR,27,0.98,1.58
238,Boban Marjanovic,C,28,8.4,2.4,0.2,0.3,0.7,DET,35,1.66,7.0
239,Anthony Morrow,SG,31,14.6,0.4,0.5,0.0,0.9,CHI/OKC,49,-1.46,3.49
240,Terry Rozier,PG,22,17.1,2.5,0.6,0.1,0.9,BOS,74,-0.01,1.91
241,Malcolm Delaney,PG,27,17.1,1.5,0.5,0.0,1.5,ATL,73,-0.25,2.5
242,Joffrey Lauvergne,PF-C,25,14.0,2.6,0.4,0.1,1.2,CHI/OKC,70,-1.27,1.71
243,Joffrey Lauvergne,PF-C,25,14.0,2.6,0.4,0.1,1.2,CHI/OKC,70,-1.27,1.52
244,Meyers Leonard,PF,24,16.5,2.8,0.2,0.4,2.3,POR,74,0.26,9.21
245,Alexis Ajinca,C,28,15.0,3.4,0.5,0.6,2.0,NO,39,1.64,4.64
246,Chasson Randle,PG,23,11.5,1.0,0.3,0.1,1.5,NY/PHI,26,-1.36,1.31
247,Mike Dunleavy,SF,36,15.9,1.8,0.3,0.1,1.3,ATL/CLE,53,0.05,4.84
248,Randy Foye,SG,33,18.6,2.1,0.5,0.1,1.4,BKN,69,-1.42,2.5
249,Cameron Payne,PG,22,14.9,1.5,0.5,0.1,1.7,CHI/OKC,31,-0.31,2.11
250,Dewayne Dedmon,C,27,17.5,4.8,0.5,0.8,2.4,SA,76,3.94,2.9
251,Shaun Livingston,PG,31,17.7,1.6,0.5,0.3,1.6,GS,76,-0.19,5.78
252,Luis Scola,PF,36,12.8,2.4,0.4,0.1,1.8,BKN,36,-0.29,5.5
